id	t	x	y	z
Trace 438	2	-41105.375	40768.55	6135.84
Trace 438	3	-41100.3375	40769.85	6132.09
Trace 440	0	-40850.0875	40738.325	6138.53
Trace 440	1	-40848.625	40736.7	6138.37
Trace 440	2	-40844.2375	40737.35	6135.84
Trace 440	3	-40840.825	40737.5125	6132.09
Trace 440	4	-40837.25	40738.65	6129.84
Trace 440	5	-40835.1375	40739.4625	6129.24
Trace 440	6	-40832.7	40740.1125	6125.96
Trace 440	7	-40830.75	40742.225	6124.9
Trace 440	8	-40830.1	40742.225	6126.14
Trace 440	9	-40829.45	40743.525	6123.55
Trace 440	10	-40827.5	40745.6375	6123.39
Trace 440	11	-40827.175	40745.6375	6125.42
Trace 440	12	-40825.55	40746.45	6123.17
Trace 440	13	-40824.9	40747.425	6123.75
Trace 440	14	-40824.575	40746.9375	6123.98
Trace 440	15	-40824.0875	40747.425	6124.39
Trace 440	16	-40823.275	40746.6125	6124.66
Trace 441	0	-40915.575	40720.775	6138.53
Trace 441	1	-40915.25	40718.175	6138.37
Trace 441	2	-40920.125	40720.45	6135.84
Trace 441	3	-40926.95	40718.0125	6132.09
Trace 441	4	-40921.75	40715.575	6129.84
Trace 441	5	-40916.7125	40717.3625	6129.24
Trace 441	6	-40914.7625	40723.05	6125.96
Trace 441	7	-40914.275	40725.8125	6124.9
Trace 441	8	-40911.8375	40725.65	6126.14
Trace 441	9	-40914.6	40724.1875	6123.55
Trace 441	10	-40913.1375	40723.375	6123.39
Trace 441	11	-40909.075	40716.0625	6125.42
Trace 441	12	-40908.9125	40716.225	6123.17
Trace 441	13	-40906.6375	40714.6	6123.75
Trace 441	14	-40905.5	40714.4375	6123.98
Trace 441	15	-40905.9875	40714.4375	6124.39
Trace 441	16	-40907.9375	40714.7625	6124.66
Trace 443	0	-41084.575	40690.875	6138.53
Trace 443	1	-41083.6	40690.875	6138.37
Trace 443	2	-41079.2125	40690.0625	6135.84
Trace 443	3	-41075.15	40688.7625	6132.09
Trace 443	4	-41071.7375	40688.6	6129.84
Trace 443	5	-41069.7875	40689.7375	6129.24
Trace 443	6	-41067.025	40689.9	6125.96
Trace 443	7	-41064.9125	40688.6	6124.9
Trace 443	8	-41063.6125	40690.7125	6126.14
Trace 443	9	-41061.6625	40691.2	6123.55
Trace 443	10	-41060.525	40692.825	6123.39
Trace 443	11	-41060.525	40693.3125	6125.42
Trace 443	12	-41059.0625	40692.825	6123.17
Trace 443	13	-41058.7375	40694.2875	6123.75
Trace 443	14	-41057.275	40692.825	6123.98
Trace 443	15	-41055.8125	40694.6125	6124.39
Trace 443	16	-41056.4625	40696.2375	6124.66
Trace 444	0	-40798.4125	40688.4375	6138.53
Trace 444	1	-40798.575	40691.6875	6138.37
Trace 444	2	-40796.4625	40686.325	6135.84
Trace 444	3	-40793.5375	40683.725	6132.09
Trace 444	4	-40790.2875	40683.8875	6129.84
Trace 444	5	-40787.6875	40684.7	6129.24
Trace 444	6	-40786.3875	40683.8875	6125.96
Trace 444	7	-40781.8375	40684.2125	6124.9
Trace 444	8	-40779.725	40684.375	6126.14
Trace 444	9	-40779.075	40685.025	6123.55
Trace 444	10	-40777.9375	40684.7	6123.39
Trace 444	11	-40777.775	40685.025	6125.42
Trace 444	12	-40776.475	40685.1875	6123.17
Trace 444	13	-40775.825	40685.025	6123.75
Trace 445	0	-41297.2875	40672.35	6138.53
Trace 445	1	-41298.425	40671.2125	6138.37
Trace 445	2	-41295.9875	40674.3	6135.84
Trace 445	3	-41290.3	40672.025	6132.09
Trace 445	4	-41287.2125	40672.1875	6129.84
Trace 445	5	-41283.15	40673	6129.24
Trace 445	6	-41289.4875	40675.6	6125.96
Trace 445	7	-41283.15	40671.8625	6124.9
Trace 445	8	-41280.0625	40673	6126.14
Trace 445	9	-41281.2	40674.625	6123.55
Trace 445	10	-41281.6875	40677.55	6123.39
Trace 445	11	-41279.25	40674.625	6125.42
Trace 445	12	-41276.325	40675.7625	6123.17
Trace 445	13	-41275.675	40676.25	6123.75
Trace 445	14	-41274.375	40671.8625	6123.98
Trace 445	15	-41275.025	40674.1375	6124.39
Trace 445	16	-41275.1875	40675.6	6124.66
Trace 446	0	-41048.175	40653.175	6138.53
Trace 446	1	-41042.975	40648.7875	6138.37
Trace 446	2	-41032.25	40644.075	6135.84
